surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence
の,ノ,no,助詞-格助詞,86,of,"The Japanese particle 'の' is commonly translated as 'of' in English. It is a possessive particle used to link nouns, indicating possession or association, similar to 'of' or the possessive 's in English.",猫の尾は長い。
だ,ダ,da,助動詞,73,is,"A copula or auxiliary verb used for describing the state of being. In English, it is equivalent to 'is', 'am', or 'are' depending on the context. It is used for giving definition or attributes.",これは本だ。
は,ワ,ha,助詞-係助詞,68,topic marker,"'は' is a topic marker particle used in Japanese to introduce or emphasize the topic of a sentence. It sets the context and precedence for what is being discussed, distinguishing the subject from other elements in the sentence. It is equivalent to the use of 'as for' or 'regarding' in English.",今日は雨です。
を,オ,wo,助詞-格助詞,57,object marker,"The particle 'を' is used as an object marker in Japanese. It indicates the direct object of an action, typically followed by a verb. It is often translated as 'the', 'an', or even sometimes omitted in English when marking the direct object.",私はりんごを食べます。
に,ニ,ni,助詞-格助詞,56,to,"The particle 'に' is used to indicate direction or location, time, or purpose in a sentence. It is often translated as 'to', 'at', 'in', or 'for'.",学校に行きます。
て,テ,te,助詞-接続助詞,53,and,"The particle 'て' is used to connect clauses in Japanese, often meaning 'and'. It shows a sequence of actions or processes.",朝ごはんを食べて仕事に行きます。
た,タ,ta,助動詞,51,did,A past tense auxiliary verb used to indicate that an action was completed in the past.,昨日、映画を見た。
ナルト,ナルト,naruto,名詞-固有名詞-人名-名,46,Naruto,"Naruto is a personal name, commonly known as a fictional character from the anime and manga series 'Naruto,' created by Masashi Kishimoto. It can also refer to the Japanese food item 'Narutomaki,' a type of cured fish surimi used in ramen or other dishes.",彼の名前はナルトです。
よ,ヨ,yo,助詞-終助詞,41,you know,"An ending particle often used in Japanese to emphasize or assert something in a statement, making it more engaging or convincing. It can convey confidence or add a friendly tone.",今日は本当に楽しかったよ。
ｲﾙｶ,ｲﾙｶ,iruka,名詞-普通名詞-一般,38,dolphin,"A marine mammal known for its intelligence and playful behavior, typically found in oceans and sometimes rivers.",ｲﾙｶはとても賢い動物です。
ん,ン,n,助詞-準体助詞,33,(nominal),"Acts as a nominalizing particle, used to modify or substantiate clauses, creating a noun-like structure from verbs or phrases for topicalization or explanation.",彼が来るんだって。
が,ガ,ga,助詞-格助詞,31,subject marker,"The particle 'が' marks the subject of a sentence, indicating what or who performs the action or exists in the state expressed by the verb or predicate. It is often used for objectivity and specificity in description.",猫が鳴いている。 (The cat is meowing.)
