surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence,english_pos
サクラ,サクラ,sakura,名詞-普通名詞-一般,12,cherry blossom,Refers to the cherry blossom tree or its flowers. Often symbolizes beauty and fleeting nature in Japanese culture.,春になるとサクラが満開になります。,noun
ウザい,ウザイ,uza,形容詞-一般,7,annoying,The word 'ウザい' is an adjective used to describe something or someone that is annoying or bothersome. It indicates a sense of irritation or nuisance.,彼の話はいつもウザい。,adjective
あたし,アタシ,atashi,代名詞,5,I,"A feminine form of 'I', used mainly by women or in casual speech to refer to oneself.",あたしは日本に行きたいです。,pronoun
ｶｶｼ,ｶｶｼ,kakashi,名詞-普通名詞-一般,5,scarecrow,"A figure usually made of straw and wood, dressed in old clothes, placed in fields to scare away birds and other animals from crops.",田んぼにかかしが立っている。,noun
クッソ,クッソ,kusso,名詞-普通名詞-一般,5,darn,"A colloquial and informal term used to express annoyance or frustration. It can be likened to 'darn' or 'damn' in English, often used as an intensifier with negative connotations.",あいつ、クッソがつくほどに怠け者だ。,noun
おなか,オナカ,onaka,名詞-普通名詞-一般,4,stomach,"Stomach, referring to the abdomen or belly area, commonly used to describe both the physical organ as well as the external part of the human body.",おなかがすいた。,noun
せっかく,セッカク,sekkaku,副詞,4,with effort,せっかく is an adverb used to express effort or a rare opportunity which shouldn't be wasted. It conveys a sense of preciousness or rarity about the upcoming action or situation.,せっかく作った料理が台無しになった。,adverb
おはよう,オハヨー,ohayou,感動詞-一般,4,Good morning,"""Ohayou"" is a casual greeting used in the morning to say ""Good morning"" in Japanese. It is often used among friends and family.",おはようございます、今日もいい天気ですね。,interjection
ドベ,ドベ,dobe,名詞-普通名詞-一般,4,last place,"Refers to being in the lowest position or ranking, often used in competitions or races to describe the person or team that finishes last.",彼はレースでドベだった。,noun
痛い,イタイ,itai,形容詞-一般,3,painful,"The Japanese adjective '痛い' (itai) translates to 'painful' or 'sore' in English. It is used to describe physical pain or discomfort. It can also figuratively describe emotional pain, awkwardness, or embarrassment in some contexts.",頭が痛い。,adjective
たく,タク,taku,助動詞,3,want to,"This auxiliary verb expresses a desire or wish to perform an action. It is often used in the form ""たい"" as in ""したい"" meaning ""want to do."" ""たく"" is the stem form used with verbs, like in ""買いたくない"" meaning ""do not want to buy.""",私は海に行きたくない。,auxiliary verb
ごはん,ゴハン,gohan,名詞-普通名詞-一般,3,rice,"In Japanese, 'ごはん' primarily refers to cooked rice. It can also mean a meal in general, as rice is a staple food in Japanese cuisine and often the central part of a meal.",朝ごはんを食べました。,noun
ｻｸﾗ,ｻｸﾗ,sakura,名詞-普通名詞-一般,3,cherry blossom,"A cherry blossom, particularly referring to the flowering cherry trees of Japan, known for their beautiful pink or white flowers in spring.",日本の春といえば、ｻｸﾗの美しい咲く様子が思い浮かびます。,noun
組む,クム,kumu,動詞-一般,3,assemble,"To join together; to form by putting together parts or members, such as assembling a team, programming together, or forming a partnership.",彼は新しいプロジェクトのためにチームを組んだ。,verb
デコ,デコ,deko,名詞-普通名詞-一般,3,forehead,"The word 'デコ' is a casual term for 'forehead' in Japanese, often used in informal speech.",彼女はデコに可愛いステッカーを貼った。,noun
もらい,モライ,morai,動詞-非自立可能,3,receive,"'もらい' is a non-independent verb form in Japanese often used to mean 'to receive' or 'to get', frequently requiring a helper verb. It's commonly used in casual to semi-formal contexts.",私は友達からプレゼントをもらいました。,verb (non-independent)
下る,クダル,kudaru,動詞-一般,3,descend,"To go down or descend from a higher to a lower place or level, often referring to slopes, stairs, or mountains.",彼は山を下った。,verb
女,オンナ,onna,名詞-普通名詞-一般,3,woman,"""女"" refers to a woman, a female person. In a broader context, it can also describe characteristics or roles typically associated with women.",彼女は素敵な女です。,noun-common-noun-general
組,クミ,kumi,名詞-普通名詞-助数詞可能,2,group,"In English, '組' can be translated to 'group,' referring to a set, series, or a number of individuals or items considered collectively. It is often used in contexts such as team or class grouping.",彼はクラスの中で一番優秀な組に入っています。,noun
腹,ハラ,hara,名詞-普通名詞-一般,2,stomach,"The word '腹' translates to 'stomach' in English. It can refer to the physical organ within the human body or, in a more general sense, the belly or abdomen. It may also be used in expressions to denote thoughts, feelings, or intentions, such as '腹の中' meaning 'inside one's mind'.",彼は腹が痛いと言った。,noun
チッ,チッ,chitsu,副詞,2,Tsk,"An onomatopoeic word expressing dissatisfaction or irritation, often used to mimick the sound of someone clicking their tongue.",彼はチッと舌打ちをした。,Adverb
チャーミング,チャーミング,chaamingu,形状詞-一般,2,charming,"charming; used to describe a person, behavior, smile, etc., that is very pleasant or attractive.",彼女はとてもチャーミングな笑顔を持っています。,adjective
行こう,イコー,iko,動詞-非自立可能,2,let's go,"The word '行こう' is a form of the verb '行く' which means 'to go.' The '-ou' ending indicates the volitional form, often used to suggest or propose an action, as in 'let's go.' It conveys an invitation or suggestion to go somewhere.",映画を見に行こう。,verb - auxiliary
シャイ,シャイ,shai,形状詞-一般,2,shy,The word 'シャイ' is used in Japanese to describe someone who is shy or bashful. It often implies a certain level of introverted or reserved personality.,彼はとてもシャイなので、人前に出ると緊張します。,adjective
でしょ,デショ,desho,助動詞,2,right?,"Used to express certainty, expectation, or seeking confirmation, similar to 'isn't it?' or 'right?' in English.",今日はいい天気でしょ？,auxiliary verb
とこ,トコ,toko,名詞-普通名詞-一般,2,bed,"The word 'とこ' is an informal or colloquial term in Japanese, often used to refer to a 'bed' or 'place where one lies down'. It could also imply a sleeping spot or a place to rest.",彼は疲れていたので、すぐにとこに入った。,noun
フフッ,フフッ,fufutsu,感動詞-一般,2,Chuckle,"A soft, light laughter often indicating amusement or a light-hearted reaction. It can convey a sense of quiet humor or modesty.",彼の冗談を聞いて、彼女はフフッと笑った。,Interjection
うぅ,ウー,uu,感動詞-一般,2,sob,"An interjection used to express sobbing or emotional distress, often seen as a sound of crying or whining.",彼は試合に負けて、うぅと泣き出した。,interjection
広い,ヒロイ,hiroi,形容詞-一般,2,wide,"Describes an extent or distance that is great from side to side, or covering an extensive area. It can also mean spacious.",彼の家はとても広いです。,adjective
スマイル,スマイル,sumairu,名詞-普通名詞-一般,2,smile,"The word 'スマイル' is a noun that refers to a facial expression characterized by the upward curving of the corners of the mouth, often associated with happiness or friendliness. It is borrowed from the English word 'smile.'",彼女のスマイルはとても魅力的です。,noun
一族,イチゾク,ichizoku,名詞-普通名詞-一般,2,clan,A group of families who are related or claim common ancestry. It can refer to a large family or a collective group of associated kin.,彼は一族全員を招待した。,noun
カカシ,カカシ,kakashi,名詞-普通名詞-一般,2,scarecrow,"A scarecrow is an object made to resemble a human figure, set up to scare away birds from crops. It is traditionally made from a straw-stuffed shirt and pants with a hat and placed in fields.",畑にはカカシが立っています。,noun
やっ,ヤッ,yatsu,助動詞,2,did,"An auxiliary verb used colloquially in Japanese to indicate completion or emphasis, often similar to ""did"" in English. It is a contracted form of やってしまった (yatte shimatta).",あの宿題、結局やっちゃったよ。,auxiliary verb
やっと,ヤット,yatto,副詞,2,finally,"Indicates something happening after a long delay, effort, or anticipation.",やっと仕事が終わりました。,adverb
わがまま,ワガママ,wagamama,名詞-普通名詞-形状詞可能,2,selfishness,"The word 'わがまま' refers to the trait of being selfish or self-centered, characterized by a tendency to insist on having one's own way without regard for others.",彼女は少しわがままですが、本当は優しい人です。,noun
シカマル,シカマル,shikamaru,名詞-固有名詞-人名-名,2,Shikamaru,"Shikamaru is a male given name, commonly known from the character Nara Shikamaru in the anime and manga series Naruto.",シカマルはとても頭がいいです。,noun - proper noun - personal name - given name
急,キュー,kyuu,名詞-普通名詞-形状詞可能,2,urgent,"急 refers to something that is urgent or pressing, indicating a situation that requires immediate attention or action. It can also imply rapidity or speed when used to describe movement or actions.",その問題は急に解決が必要です。,noun-ordinary noun-adjective form possible
キス,キス,kisu,名詞-普通名詞-サ変可能,2,kiss,"Kiss can refer to the act of touching or pressing lips against someone or something as a greeting, affection gesture, or ritual.",彼は彼女にキスをした。,noun
