surface,reading,romaji,pos,frequency
合言葉,アイコトバ,aikotoba,名詞-普通名詞-一般,11
つかれ,ツカレ,tsukare,名詞-普通名詞-一般,4
忍びよ,シノビヨ,shinobi,動詞-一般,3
なれ,ナレ,nare,助動詞,3
大事,ダイジ,daiji,形状詞-一般,3
歌,ウタ,uta,名詞-普通名詞-一般,2
吐き出さ,ハキダサ,hakidasa,動詞-一般,2
現す,アラワス,arawasu,動詞-一般,1
爆発,バクハツ,bakuhatsu,名詞-普通名詞-サ変可能,1
消化,ショーカ,shouka,名詞-普通名詞-サ変可能,1
果て,ハテ,hate,動詞-非自立可能,1
捕食,ホショク,hoshoku,名詞-普通名詞-サ変可能,1
投入,トーニュー,tounyuu,名詞-普通名詞-サ変可能,1
恐怖,キョーフ,kyoufu,名詞-普通名詞-サ変可能,1
忘れる,ワスレル,wasure,動詞-非自立可能,1
握り,ニギリ,nigiri,動詞-一般,1
握り,ニギリ,nigiri,名詞-普通名詞-一般,1
盗み聞き,ヌスミギキ,nusumigiki,名詞-普通名詞-サ変可能,1
新手,アラテ,arate,名詞-普通名詞-一般,1
鳳仙,ホーセン,housen,名詞-普通名詞-一般,1
風間,カザマ,kazama,名詞-普通名詞-一般,1
あだ,アダ,ada,名詞-普通名詞-一般,1
逃げ惑う,ニゲマドウ,nige,動詞-一般,1
苦しむ,クルシム,kurushi,動詞-一般,1
いったん,イッタン,ittan,副詞,1
逃げれ,ニゲレ,nige,動詞-一般,1
逃がす,ニガス,niga,動詞-一般,1
起爆,キバク,kibaku,名詞-普通名詞-一般,1
諏訪,スワ,suwa,名詞-固有名詞-人名-姓,1
覚えよ,オボエヨ,oboe,動詞-一般,1
規模,キボ,kibo,名詞-普通名詞-一般,1
見なせ,ミナセ,mina,動詞-一般,1
いがみ合い,イガミアイ,igami,動詞-一般,1
こてんこてん,コテンコテン,kotenkoten,形状詞-一般,1
キューブ,キューブ,kyuubu,名詞-普通名詞-一般,1
イメージ,イメージ,imeeji,名詞-普通名詞-サ変可能,1
ラー,ラー,raa,名詞-固有名詞-地名-一般,1
ボケボケ,ボケボケ,bokeboke,形状詞-一般,1
ビット,ビット,bitto,名詞-普通名詞-助数詞可能,1
ふだん,フダン,fudan,名詞-普通名詞-副詞可能,1
ば,バ,ba,助詞-係助詞,1
よる,ヨル,yoru,動詞-一般,1
よっこらせ,ヨッコラセ,yokkorase,感動詞-一般,1
でけ,デケ,deke,助動詞,1
よける,ヨケル,yokeru,動詞-一般,1
でらっしゃい,デラッシャイ,derasshai,助動詞,1
もの,モノ,mono,助詞-終助詞,1
とっさ,トッサ,tossa,名詞-普通名詞-一般,1
変わり,カワリ,kawari,動詞-一般,1
圧縮,アッシュク,asshuku,名詞-普通名詞-サ変可能,1
問う,トウ,tou,動詞-一般,1
吐き出し,ハキダシ,hakidashi,動詞-一般,1
尻尾,シッポ,shippo,名詞-普通名詞-一般,1
寄る,ヨル,yoru,動詞-一般,1
傷つけ,キズツケ,kizutsu,動詞-一般,1
信用,シンヨー,shinyou,名詞-普通名詞-サ変可能,1
侵攻,シンコー,shinkou,名詞-普通名詞-サ変可能,1
会話,カイワ,kaiwa,名詞-普通名詞-サ変可能,1
取り乱す,トリミダス,tori,動詞-一般,1
単独,タンドク,tandoku,形状詞-一般,1
動転,ドーテン,douten,名詞-普通名詞-サ変可能,1
