surface,reading,romaji,pos,frequency
),,),補助記号-括弧閉,112
(,,(,補助記号-括弧開,111
＜,,＜,補助記号-括弧開,73
＞,,＞,補助記号-括弧閉,73
｡,｡,｡,記号-一般,69
♬,,♬,補助記号-一般,69
！,,!,補助記号-句点,67
…,,…,補助記号-一般,64
の,ノ,no,助詞-格助詞,60
は,ワ,ha,助詞-係助詞,49
だ,ダ,da,助動詞,48
～,,~,補助記号-一般,45
ﾁｮｳｼﾞ,ﾁｮｳｼﾞ,chouji,名詞-普通名詞-一般,38
を,オ,wo,助詞-格助詞,38
に,ニ,ni,助詞-格助詞,35
て,テ,te,助詞-接続助詞,34
が,ガ,ga,助詞-格助詞,32
？,,？,補助記号-句点,24
も,モ,mo,助詞-係助詞,24
坊,ボー,bou,接尾辞-名詞的-一般,23
次郎,ジロー,jirou,名詞-固有名詞-人名-名,23
ハァ,ハー,haa,感動詞-一般,23
た,タ,ta,助動詞,22
男の子,オトコノコ,otokonoko,名詞-普通名詞-一般,21
》,,>>,補助記号-括弧閉,20
お前,オマエ,o,代名詞,19
《,,<<,補助記号-括弧開,19
と,ト,to,助詞-格助詞,18
な,ナ,na,助詞-終助詞,17
で,デ,de,助詞-格助詞,16
よ,ヨ,yo,助詞-終助詞,15
な,ナ,na,助動詞,14
ん,ン,n,助詞-準体助詞,14
俺,オレ,ore,代名詞,13
僕,ボク,boku,代名詞,13
し,シ,shi,動詞-非自立可能,13
に,ニ,ni,助動詞,12
…｡,…｡,…,記号-一般,12
ｼｶﾏﾙ,ｼｶﾏﾙ,shikamaru,名詞-普通名詞-一般,12
って,ッテ,tte,助詞-副助詞,10
何,ナン,nani,代名詞,10
ぜ,ゼ,ze,助詞-終助詞,10
チョウジ,チョージ,chouji,名詞-普通名詞-一般,10
いい,イー,ii,形容詞-非自立可能,10
より,ヨリ,yori,助詞-格助詞,9
２,２,2,名詞-数詞,9
ない,ナイ,nai,助動詞,9
〈,,<,補助記号-括弧開,8
〉,,>,補助記号-括弧閉,8
よう,ヨー,you,形状詞-助動詞語幹,7
ヤツ,ヤツ,yatsu,名詞-普通名詞-一般,7
の,ノ,no,助詞-準体助詞,7
たち,タチ,tachi,接尾辞-名詞的-一般,7
見える,ミエル,mie,動詞-一般,7
から,カラ,kara,助詞-接続助詞,7
だろ,ダロ,daro,助動詞,6
それ,ソレ,sore,代名詞,6
そう,ソー,sou,副詞,6
だけ,ダケ,dake,助詞-副助詞,6
っ,,tsu,補助記号-一般,6
バカ,バカ,baka,名詞-普通名詞-形状詞可能,6
この,コノ,kono,連体詞,6
か,カ,ka,助詞-副助詞,6
ない,ナイ,nai,形容詞-非自立可能,6
こと,コト,koto,名詞-普通名詞-一般,6
ヤマ,ヤマ,yama,名詞-普通名詞-一般,6
あっ,アッ,atsu,感動詞-一般,6
１,１,1,名詞-数詞,6
ねえ,ネー,nee,助動詞,5
やる,ヤル,yaru,動詞-非自立可能,5
キバ,キバ,kiba,名詞-固有名詞-一般,5
チャクラ,チャクラ,chakura,名詞-普通名詞-一般,5
仲間,ナカマ,nakama,名詞-普通名詞-一般,5
術,ジュツ,jutsu,名詞-普通名詞-一般,5
見,ミ,ken,動詞-非自立可能,5
雲,クモ,kumo,名詞-普通名詞-一般,5
これ,コレ,kore,代名詞,5
シカマル,シカマル,shikamaru,名詞-固有名詞-人名-名,5
!,,!,補助記号-句点,5
うん,ウン,un,感動詞-一般,5
が,ガ,ga,助詞-接続助詞,5
?,,?,補助記号-句点,5
か,カ,ka,助詞-終助詞,5
うわっ,ウワッ,uwatsu,感動詞-一般,5
あ,ア,a,感動詞-一般,4
き,キ,ki,動詞-非自立可能,4
から,カラ,kara,助詞-格助詞,4
てる,テル,teru,助動詞,4
３,３,3,名詞-数詞,4
あいつ,アイツ,aitsu,代名詞,4
と,ト,to,助詞-接続助詞,4
ぞ,ゾ,zo,助詞-終助詞,4
音,オト,oto,名詞-普通名詞-一般,4
する,スル,suru,動詞-非自立可能,4
なる,ナル,naru,動詞-非自立可能,4
忍者,ニンジャ,ninja,名詞-普通名詞-一般,4
倍化,バイカ,baika,名詞-普通名詞-一般,4
ば,バ,ba,助詞-接続助詞,4
