surface,reading,pos,frequency
｡,｡,記号-一般,161
！,,補助記号-句点,118
の,ノ,助詞-格助詞,92
),,補助記号-括弧閉,76
(,,補助記号-括弧開,71
だ,ダ,助動詞,71
？,,補助記号-句点,65
よ,ヨ,助詞-終助詞,61
は,ワ,助詞-係助詞,56
て,テ,助詞-接続助詞,56
た,タ,助動詞,53
～,,補助記号-一般,49
って,ッテ,助詞-副助詞,49
♬,,補助記号-一般,47
に,ニ,助詞-格助詞,46
を,オ,助詞-格助詞,44
が,ガ,助詞-格助詞,41
ん,ン,助詞-準体助詞,38
ば,バ,助詞-接続助詞,36
何,ナン,代名詞,36
も,モ,助詞-係助詞,34
…,,補助記号-一般,33
か,カ,助詞-副助詞,31
メンマ,メンマ,名詞-普通名詞-一般,28
か,カ,助詞-終助詞,22
あっ,アッ,感動詞-一般,20
し,シ,動詞-非自立可能,20
な,ナ,助動詞,20
の,ノ,助詞-準体助詞,19
と,ト,助詞-格助詞,18
で,デ,助詞-格助詞,17
ね,ネ,助詞-終助詞,17
てる,テル,助動詞,15
ナルト,ナルト,名詞-固有名詞-人名-名,15
ない,ナイ,助動詞,15
お前,オマエ,代名詞,13
から,カラ,助詞-接続助詞,13
それ,ソレ,代名詞,12
ﾒﾝﾏ,ﾒﾝﾏ,名詞-普通名詞-一般,11
記憶,キオク,名詞-普通名詞-サ変可能,11
こと,コト,名詞-普通名詞-一般,11
これ,コレ,代名詞,11
て,テ,助動詞,10
な,ナ,助詞-終助詞,10
…｡,…｡,記号-一般,10
どう,ドー,副詞,10
あぁ,アー,感動詞-一般,10
男性,ダンセー,名詞-普通名詞-一般,10
じゃ,ジャ,助動詞,10
そう,ソー,副詞,10
ねえ,ネー,形容詞-非自立可能,9
あいつ,アイツ,代名詞,9
僕,ボク,代名詞,9
いる,イル,動詞-非自立可能,9
俺,オレ,代名詞,9
この,コノ,連体詞,8
うっ,ウッ,感動詞-一般,8
けど,ケド,助詞-接続助詞,8
君,クン,接尾辞-名詞的-一般,8
ねえ,ネー,助動詞,8
〈,,補助記号-括弧開,8
〉,,補助記号-括弧閉,8
いい,イー,形容詞-非自立可能,8
い,イ,動詞-非自立可能,8
赤ちゃん,アカチャン,名詞-普通名詞-一般,8
わ,ワ,助詞-終助詞,8
フキ,フキ,名詞-普通名詞-一般,8
ない,ナイ,形容詞-非自立可能,7
から,カラ,助詞-格助詞,7
里,サト,名詞-普通名詞-一般,7
痛い,イタイ,形容詞-一般,7
幻,マボロシ,名詞-普通名詞-一般,7
その,ソノ,連体詞,7
うん,ウン,感動詞-一般,7
です,デス,助動詞,7
ます,マス,助動詞,7
人,ヒト,名詞-普通名詞-一般,6
ラーメン,ラーメン,名詞-普通名詞-一般,6
に,ニ,助動詞,6
